Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,-0.00470
0.10000,-0.00173,-0.01636
0.20000,-0.01440,-0.02005
0.30000,-0.02747,-0.01532
0.40000,-0.03853,-0.01991
0.50000,-0.04920,-0.02166
0.60000,-0.05960,-0.01483
0.70000,-0.06973,-0.03047
0.80000,-0.07973,-0.03633
0.90000,-0.09013,-0.02764
1.00000,-0.09973,-0.03415
1.10000,-0.10987,-0.02826
1.20000,-0.12013,-0.04061
1.30000,-0.12987,-0.03481
1.40000,-0.14013,-0.03776
1.50000,-0.15013,-0.04311
1.60000,-0.15973,-0.04549
1.70000,-0.17027,-0.04678
1.80000,-0.18013,-0.05265
1.90000,-0.18987,-0.04610
2.00000,-0.20000,-0.05304
2.10000,-0.20987,-0.04501
2.20000,-0.22000,-0.05593
2.30000,-0.22987,-0.06373
2.40000,-0.23987,-0.07178
2.50000,-0.24987,-0.06289
2.60000,-0.25973,-0.06067
2.70000,-0.27013,-0.06374
2.80000,-0.27987,-0.07038
2.90000,-0.29000,-0.07547
3.00000,-0.30013,-0.07300
3.10000,-0.30973,-0.05946
3.20000,-0.32000,-0.07241
3.30000,-0.33000,-0.08018
3.40000,-0.33960,-0.08336
3.50000,-0.35000,-0.08322
3.60000,-0.35987,-0.07852
3.70000,-0.36987,-0.08107
3.80000,-0.38013,-0.07947
3.90000,-0.39000,-0.07565
4.00000,-0.40000,-0.09006
4.10000,-0.41013,-0.08497
4.20000,-0.42013,-0.09789
4.30000,-0.43000,-0.09464
4.40000,-0.44000,-0.09759
4.50000,-0.45013,-0.10091
4.60000,-0.45987,-0.09298
4.70000,-0.47000,-0.09768
4.80000,-0.47987,-0.10514
4.90000,-0.48960,-0.10227
5.00000,-0.50013,-0.10426
5.10000,-0.50987,-0.10397
5.20000,-0.51987,-0.11246
5.30000,-0.53013,-0.11010
5.40000,-0.53987,-0.11376
5.50000,-0.55013,-0.10292
5.60000,-0.56027,-0.11146
5.70000,-0.57000,-0.10657
5.80000,-0.58000,-0.11711
5.90000,-0.59013,-0.11435
6.00000,-0.60013,-0.12109
6.10000,-0.60987,-0.11639
6.20000,-0.62027,-0.12626
6.30000,-0.62987,-0.12939
6.40000,-0.63960,-0.13495
6.50000,-0.65027,-0.13019
6.60000,-0.65987,-0.12558
6.70000,-0.66987,-0.13641
6.80000,-0.68013,-0.14050
6.90000,-0.68986,-0.13370
7.00000,-0.70000,-0.14005
7.10000,-0.71013,-0.13345
7.20000,-0.71986,-0.14239
7.30000,-0.73000,-0.13749
7.40000,-0.74000,-0.14360
7.50000,-0.75000,-0.14264
7.60000,-0.76000,-0.14152
7.70000,-0.76973,-0.14862
7.80000,-0.78000,-0.14600
7.90000,-0.78986,-0.14738
8.00000,-0.80000,-0.16091
8.10000,-0.81000,-0.15312
8.20000,-0.81973,-0.16258
8.30000,-0.83026,-0.15960
8.40000,-0.84000,-0.16454
8.50000,-0.85000,-0.16435
8.60000,-0.86013,-0.16931
8.70000,-0.86973,-0.17045
8.80000,-0.88000,-0.17413
8.90000,-0.89000,-0.17353
9.00000,-0.89986,-0.18222
9.10000,-0.90986,-0.17594
9.20000,-0.92000,-0.18499
9.30000,-0.93000,-0.17784
9.40000,-0.94000,-0.18713
9.50000,-0.95013,-0.18776
9.60000,-0.96000,-0.19258
9.70000,-0.97000,-0.19940
9.80000,-0.98026,-0.20553
9.90000,-0.99000,-0.20452
10.00000,-0.99973,-0.21965
10.10000,-1.01000,-0.21085
10.20000,-1.01973,-0.21486
10.30000,-1.03000,-0.22283
10.40000,-1.04000,-0.22484
10.50000,-1.04973,-0.22602
10.60000,-1.06013,-0.22511
10.70000,-1.07013,-0.23721
10.80000,-1.08000,-0.23640
10.90000,-1.09013,-0.23741
11.00000,-1.10000,-0.24309
11.10000,-1.11000,-0.24281
11.20000,-1.12013,-0.24751
11.30000,-1.13013,-0.25471
11.40000,-1.13986,-0.26111
11.50000,-1.14986,-0.26554
11.60000,-1.16000,-0.26409
11.70000,-1.16973,-0.27651
11.80000,-1.18000,-0.27766
11.90000,-1.19000,-0.28045
12.00000,-1.19960,-0.28842
12.10000,-1.21013,-0.28054
12.20000,-1.22000,-0.28910
12.30000,-1.23000,-0.29602
12.40000,-1.24000,-0.29676
12.50000,-1.24986,-0.29523
12.60000,-1.26000,-0.29489
12.70000,-1.26986,-0.30323
12.80000,-1.27986,-0.30939
12.90000,-1.28986,-0.30956
13.00000,-1.29973,-0.31774
13.10000,-1.30986,-0.31471
13.20000,-1.31986,-0.32215
13.30000,-1.33000,-0.32426
13.40000,-1.34013,-0.33703
13.50000,-1.34986,-0.33717
13.60000,-1.36013,-0.33958
13.70000,-1.37013,-0.35174
13.80000,-1.37986,-0.35461
13.90000,-1.39026,-0.35064
14.00000,-1.39986,-0.35492
14.10000,-1.40986,-0.35161
14.20000,-1.42013,-0.36515
14.30000,-1.42973,-0.36410
14.40000,-1.44000,-0.37040
14.50000,-1.45013,-0.37547
14.60000,-1.46000,-0.37453
14.70000,-1.47000,-0.38158
14.80000,-1.48000,-0.38232
14.90000,-1.49000,-0.39166
15.00000,-1.50000,-0.38791
15.10000,-1.51026,-0.38703
15.20000,-1.52000,-0.39973
15.30000,-1.52973,-0.39513
15.40000,-1.54026,-0.39446
15.50000,-1.54986,-0.39662
15.60000,-1.55986,-0.39290
15.70000,-1.57013,-0.38281
15.80000,-1.57960,-0.37914
15.90000,-1.59000,-0.37607
16.00000,-1.60013,-0.36738
16.10000,-1.61000,-0.35945
16.20000,-1.62000,-0.37263
16.30000,-1.63013,-0.36995
16.40000,-1.64000,-0.38143
16.50000,-1.65000,-0.37533
16.60000,-1.66013,-0.38405
16.70000,-1.66986,-0.39008
16.80000,-1.67973,-0.40323
16.90000,-1.69013,-0.39825
17.00000,-1.69986,-0.40584
17.10000,-1.70973,-0.40650
17.20000,-1.72013,-0.43023
17.30000,-1.72986,-0.43497
17.40000,-1.74013,-0.44570
17.50000,-1.75013,-0.44242
17.60000,-1.75973,-0.44587
17.70000,-1.77013,-0.45499
17.80000,-1.78013,-0.47479
17.90000,-1.79013,-0.47600
18.00000,-1.80000,-0.47656
18.10000,-1.80986,-0.47689
18.20000,-1.82000,-0.47971
18.30000,-1.82973,-0.48155
18.40000,-1.83973,-0.49695
18.50000,-1.84986,-0.49971
18.60000,-1.85960,-0.49076
18.70000,-1.87013,-0.50695
18.80000,-1.87986,-0.51153
18.90000,-1.89013,-0.51709
19.00000,-1.90013,-0.53244
19.10000,-1.90960,-0.53072
19.20000,-1.92000,-0.54578
19.30000,-1.93000,-0.55354
19.40000,-1.93986,-0.56762
19.50000,-1.95000,-0.57448
19.60000,-1.95986,-0.58192
19.70000,-1.96986,-0.59432
19.80000,-1.98000,-0.60440
19.90000,-1.99000,-0.61399
20.00000,-2.00013,-0.63213
20.10000,-2.01013,-0.63883
20.20000,-2.02013,-0.65742
20.30000,-2.03000,-0.65609
20.40000,-2.04013,-0.67227
20.50000,-2.05013,-0.68638
20.60000,-2.05986,-0.69203
20.70000,-2.07013,-0.70328
20.80000,-2.08013,-0.71859
20.90000,-2.08959,-0.72135
21.00000,-2.09999,-0.72650
21.10000,-2.10986,-0.73453
21.20000,-2.11986,-0.75787
21.30000,-2.13013,-0.77319
21.40000,-2.13999,-0.79268
21.50000,-2.15013,-0.80656
21.60000,-2.16013,-0.81805
21.70000,-2.17013,-0.84091
21.80000,-2.18013,-0.85670
21.90000,-2.18986,-0.86392
22.00000,-2.20013,-0.87256
22.10000,-2.20986,-0.88736
22.20000,-2.22013,-0.90781
22.30000,-2.22986,-0.92248
22.40000,-2.23959,-0.94280
22.50000,-2.25013,-0.95089
22.60000,-2.25986,-0.96456
22.70000,-2.26986,-0.99367
22.80000,-2.28013,-1.01037
22.90000,-2.28999,-1.01676
23.00000,-2.30013,-1.02774
23.10000,-2.31013,-1.03827
23.20000,-2.31973,-1.05289
23.30000,-2.32999,-1.06126
23.40000,-2.33986,-1.08132
23.50000,-2.34973,-1.10646
23.60000,-2.35986,-1.11671
23.70000,-2.36973,-1.13237
23.80000,-2.37999,-1.15015
23.90000,-2.38986,-1.16312
24.00000,-2.40013,-1.18133
24.10000,-2.40999,-1.17876
24.20000,-2.41986,-1.20043
24.30000,-2.43026,-1.21474
24.40000,-2.43986,-1.22582
24.50000,-2.44999,-1.23960
24.60000,-2.46013,-1.25660
24.70000,-2.46959,-1.27505
24.80000,-2.47999,-1.29527
24.90000,-2.48986,-1.31047
25.00000,-2.49973,-1.32970
25.10000,-2.50986,-1.33739
25.20000,-2.51973,-1.36352
25.30000,-2.52986,-1.37547
25.40000,-2.53999,-1.41432
25.50000,-2.55026,-1.43251
25.60000,-2.56013,-1.44959
25.70000,-2.57013,-1.47907
25.80000,-2.58013,-1.50305
25.90000,-2.58986,-1.52013
26.00000,-2.59999,-1.53989
26.10000,-2.60999,-1.54156
26.20000,-2.61973,-1.56943
26.30000,-2.62999,-1.59248
26.40000,-2.63999,-1.62849
26.50000,-2.64973,-1.65625
26.60000,-2.66026,-1.68293
26.70000,-2.66999,-1.72052
26.80000,-2.67999,-1.73950
26.90000,-2.69026,-1.78220
27.00000,-2.69999,-1.80863
27.10000,-2.71013,-1.82022
27.20000,-2.71999,-1.84587
27.30000,-2.72999,-1.86518
27.40000,-2.73986,-1.89083
27.50000,-2.74986,-1.91100
27.60000,-2.76013,-1.93982
27.70000,-2.76986,-1.96969
27.80000,-2.78013,-1.99646
27.90000,-2.78986,-2.02241
28.00000,-2.79973,-2.04695
28.10000,-2.81026,-2.06191
28.20000,-2.81986,-2.07707
28.30000,-2.82999,-2.08955
28.40000,-2.84013,-2.11210
28.50000,-2.84986,-2.13545
28.60000,-2.85999,-2.16813
28.70000,-2.86999,-2.19697
28.80000,-2.87986,-2.22117
28.90000,-2.88986,-2.23868
29.00000,-2.89973,-2.26822
29.10000,-2.90973,-2.28590
29.20000,-2.91973,-2.32471
29.30000,-2.92986,-2.35730
29.40000,-2.93999,-2.40600
29.50000,-2.94973,-2.42103
29.60000,-2.96013,-2.44335
29.70000,-2.96999,-2.49326
29.80000,-2.97986,-2.51760
29.90000,-2.99026,-2.53549
30.00000,-2.99986,-2.56603
30.10000,-3.00986,-2.59475
30.20000,-3.02013,-2.63812
30.30000,-3.02959,-2.66966
30.40000,-3.03999,-2.70628
30.50000,-3.05013,-2.72619
30.60000,-3.05999,-2.74892
30.70000,-3.06999,-2.77966
30.80000,-3.07999,-2.81473
30.90000,-3.09013,-2.84279
31.00000,-3.09999,-2.88944
31.10000,-3.11026,-2.91822
31.20000,-3.11986,-2.96930
31.30000,-3.12973,-3.00692
31.40000,-3.14026,-3.05405
31.50000,-3.14986,-3.08432
31.60000,-3.15999,-3.11834
31.70000,-3.17013,-3.15262
31.80000,-3.17973,-3.17810
31.90000,-3.18999,-3.19815
32.00000,-3.19999,-3.21478
32.10000,-3.20986,-3.23793
32.20000,-3.21999,-3.28154
32.30000,-3.22999,-3.31639
32.40000,-3.24013,-3.35157
32.50000,-3.25013,-3.36334
