Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00027,-0.00675
0.10000,-0.00267,-0.00513
0.20000,-0.01520,-0.01532
0.30000,-0.02773,-0.02042
0.40000,-0.03880,-0.01461
0.50000,-0.04907,-0.01151
0.60000,-0.05947,-0.00488
0.70000,-0.06933,-0.01543
0.80000,-0.07973,-0.01378
0.90000,-0.08960,-0.01576
1.00000,-0.09973,-0.02511
1.10000,-0.10973,-0.01303
1.20000,-0.11960,-0.01020
1.30000,-0.13013,-0.02268
1.40000,-0.13973,-0.01378
1.50000,-0.14987,-0.01683
1.60000,-0.16000,-0.00950
1.70000,-0.16960,-0.02038
1.80000,-0.18000,-0.02496
1.90000,-0.18973,-0.02247
2.00000,-0.19973,-0.02706
2.10000,-0.20987,-0.01588
2.20000,-0.21960,-0.02164
2.30000,-0.22973,-0.02708
2.40000,-0.24000,-0.02560
2.50000,-0.24987,-0.02348
2.60000,-0.25987,-0.02234
2.70000,-0.27000,-0.03235
2.80000,-0.28000,-0.03056
2.90000,-0.29000,-0.02485
3.00000,-0.30000,-0.02863
3.10000,-0.31000,-0.02585
3.20000,-0.31960,-0.02579
3.30000,-0.33000,-0.03279
3.40000,-0.33987,-0.03174
3.50000,-0.34960,-0.03409
3.60000,-0.36000,-0.02486
3.70000,-0.36973,-0.03261
3.80000,-0.37973,-0.03805
3.90000,-0.39013,-0.03872
4.00000,-0.39973,-0.03600
4.10000,-0.41000,-0.03655
4.20000,-0.42000,-0.04276
4.30000,-0.42987,-0.04298
4.40000,-0.44000,-0.03844
4.50000,-0.44987,-0.03183
4.60000,-0.45987,-0.03804
4.70000,-0.46960,-0.05014
4.80000,-0.48000,-0.04713
4.90000,-0.48973,-0.04767
5.00000,-0.49960,-0.05040
5.10000,-0.51013,-0.05026
5.20000,-0.51973,-0.05474
5.30000,-0.52987,-0.05476
5.40000,-0.54013,-0.05334
5.50000,-0.54960,-0.04727
5.60000,-0.55987,-0.05352
5.70000,-0.57000,-0.06387
5.80000,-0.57987,-0.05622
5.90000,-0.58987,-0.06445
6.00000,-0.59973,-0.05504
6.10000,-0.60973,-0.06079
6.20000,-0.61973,-0.06121
6.30000,-0.62960,-0.07189
6.40000,-0.63987,-0.06838
6.50000,-0.64960,-0.06738
6.60000,-0.65987,-0.07136
6.70000,-0.66987,-0.07051
6.80000,-0.67973,-0.07878
6.90000,-0.69013,-0.07931
7.00000,-0.69973,-0.07210
7.10000,-0.70986,-0.07259
7.20000,-0.72000,-0.08747
7.30000,-0.72946,-0.08715
7.40000,-0.73986,-0.08325
7.50000,-0.74986,-0.09664
7.60000,-0.75973,-0.08990
7.70000,-0.76986,-0.09420
7.80000,-0.77973,-0.10339
7.90000,-0.78986,-0.10253
8.00000,-0.80000,-0.11350
8.10000,-0.81000,-0.10262
8.20000,-0.81986,-0.11234
8.30000,-0.82986,-0.12017
8.40000,-0.84013,-0.12569
8.50000,-0.84973,-0.11995
8.60000,-0.86000,-0.12721
8.70000,-0.87013,-0.13848
8.80000,-0.87960,-0.13216
8.90000,-0.88986,-0.14720
9.00000,-0.89986,-0.14124
9.10000,-0.90960,-0.14371
9.20000,-0.91986,-0.15354
9.30000,-0.92986,-0.16324
9.40000,-0.93986,-0.15880
9.50000,-0.95013,-0.17319
9.60000,-0.96013,-0.16782
9.70000,-0.97000,-0.17967
9.80000,-0.97986,-0.17622
9.90000,-0.99000,-0.19308
10.00000,-0.99973,-0.19303
10.10000,-1.00986,-0.19884
10.20000,-1.01986,-0.20930
10.30000,-1.02946,-0.21804
10.40000,-1.03986,-0.22104
10.50000,-1.04986,-0.22442
10.60000,-1.05973,-0.23349
10.70000,-1.07013,-0.24258
10.80000,-1.07986,-0.24424
10.90000,-1.08986,-0.25820
11.00000,-1.10000,-0.26603
11.10000,-1.10960,-0.27194
