Time,Extension,Load
(sec),(mm),(N)
0.00000,0.00000,0.00050
0.10000,-0.00413,-0.01370
0.20000,-0.01520,-0.01995
0.30000,-0.02733,-0.01831
0.40000,-0.03840,-0.02426
0.50000,-0.04920,-0.02337
0.60000,-0.05947,-0.02307
0.70000,-0.06973,-0.03331
0.80000,-0.07973,-0.02948
0.90000,-0.08960,-0.02692
1.00000,-0.10013,-0.03137
1.10000,-0.10987,-0.02352
1.20000,-0.12000,-0.03416
1.30000,-0.13027,-0.03785
1.40000,-0.13987,-0.03427
1.50000,-0.15013,-0.02571
1.60000,-0.16027,-0.02618
1.70000,-0.17000,-0.02836
1.80000,-0.18000,-0.03346
1.90000,-0.19000,-0.03536
2.00000,-0.20013,-0.03969
2.10000,-0.21000,-0.03495
2.20000,-0.22027,-0.04066
2.30000,-0.23000,-0.04012
2.40000,-0.23973,-0.05309
2.50000,-0.25027,-0.04589
2.60000,-0.26000,-0.03941
2.70000,-0.27000,-0.05109
2.80000,-0.28027,-0.05468
2.90000,-0.29000,-0.04963
3.00000,-0.30013,-0.04904
3.10000,-0.31013,-0.04329
3.20000,-0.31987,-0.05724
3.30000,-0.33013,-0.05491
3.40000,-0.34013,-0.05833
3.50000,-0.35000,-0.05094
3.60000,-0.36000,-0.05155
3.70000,-0.36987,-0.06678
3.80000,-0.38013,-0.05964
3.90000,-0.38987,-0.06015
4.00000,-0.40013,-0.06878
4.10000,-0.41013,-0.05425
4.20000,-0.41987,-0.07100
4.30000,-0.43027,-0.06853
4.40000,-0.43987,-0.07053
4.50000,-0.45000,-0.07300
4.60000,-0.46027,-0.06430
4.70000,-0.46973,-0.07167
4.80000,-0.48013,-0.07119
4.90000,-0.49013,-0.07318
5.00000,-0.49987,-0.07594
5.10000,-0.51000,-0.07146
5.20000,-0.51987,-0.07352
5.30000,-0.53000,-0.07328
5.40000,-0.54013,-0.07563
5.50000,-0.55013,-0.07923
5.60000,-0.56013,-0.08140
5.70000,-0.57000,-0.08133
5.80000,-0.58027,-0.09810
5.90000,-0.59000,-0.08976
6.00000,-0.60000,-0.09715
6.10000,-0.61013,-0.08758
6.20000,-0.61973,-0.10526
6.30000,-0.63013,-0.09363
6.40000,-0.64013,-0.10602
6.50000,-0.64987,-0.10347
6.60000,-0.66027,-0.10363
6.70000,-0.67013,-0.10904
