[Pink 6x8 A 1m 2nd]
[Specimen: 2]
[Channel: 1]

[Calculated Data]

Point ID,Time [ms],Force [N],Energy [J],Displacement [mm],Velocity [m/s],Voltage Ch1 [mV]
1,9.607000,0.000000,0.000000,0.000000,4.410000,-1.466516
2,9.608000,98.335350,0.000217,0.004410,4.409994,-1.048509
3,9.609000,98.335350,0.000650,0.008820,4.409972,-1.048509
4,9.610000,219.808429,0.001352,0.013230,4.409931,-0.532147
5,9.611000,271.868320,0.002436,0.017640,4.409862,-0.310849
6,9.612000,399.125832,0.003916,0.022050,4.409765,0.230101
7,9.613000,561.089938,0.006033,0.026459,4.409621,0.918584
8,9.614000,653.640855,0.008711,0.030869,4.409436,1.312002
9,9.615000,896.587014,0.012129,0.035278,4.409197,2.344726
10,9.616000,1000.706796,0.016311,0.039687,4.408903,2.787322
11,9.617000,1203.161928,0.021169,0.044096,4.408560,3.647925
12,9.618000,1336.203872,0.026767,0.048504,4.408163,4.213464
13,9.619000,1469.245816,0.032950,0.052912,4.407723,4.779003
14,9.620000,1584.934463,0.039680,0.057320,4.407244,5.270776
15,9.621000,1671.700948,0.046856,0.061727,4.406732,5.639606
16,9.622000,1764.251866,0.054426,0.066133,4.406191,6.033024
17,9.623000,1804.742892,0.062289,0.070539,4.405629,6.205145
18,9.624000,1868.371648,0.070379,0.074944,4.405050,6.475620
19,9.625000,1874.156080,0.078622,0.079349,4.404461,6.500209
20,9.626000,1856.802783,0.086838,0.083753,4.403873,6.426443
21,9.627000,1845.233919,0.094989,0.088157,4.403289,6.377265
22,9.628000,1793.174028,0.102999,0.092560,4.402716,6.155968
23,9.629000,1717.976407,0.110728,0.096962,4.402164,5.836315
24,9.630000,1671.700948,0.118188,0.101364,4.401630,5.639606
25,9.631000,1550.227869,0.125279,0.105766,4.401124,5.123244
26,9.632000,1544.443437,0.132088,0.110167,4.400638,5.098655
27,9.633000,1475.030248,0.138732,0.114567,4.400164,4.803591
28,9.634000,1434.539222,0.145133,0.118967,4.399708,4.631471
29,9.635000,1480.814681,0.151546,0.123366,4.399251,4.828180
30,9.636000,1440.323654,0.157971,0.127765,4.398792,4.656059
31,9.637000,1527.090140,0.164497,0.132164,4.398327,5.024889
32,9.638000,1532.874572,0.171226,0.136562,4.397846,5.049478
33,9.639000,1509.736843,0.177916,0.140960,4.397369,4.951123
34,9.640000,1567.581166,0.184682,0.145357,4.396886,5.197010
35,9.641000,1480.814681,0.191383,0.149753,4.396407,4.828180
36,9.642000,1532.874572,0.198007,0.154150,4.395934,5.049478
37,9.643000,1480.814681,0.204631,0.158545,4.395461,4.828180
38,9.644000,1451.892519,0.211076,0.162941,4.395001,4.705237
39,9.645000,1469.245816,0.217495,0.167335,4.394543,4.779003
40,9.646000,1388.263763,0.223773,0.171730,4.394095,4.434762
41,9.647000,1440.323654,0.229988,0.176123,4.393652,4.656059
42,9.648000,1347.772737,0.236112,0.180517,4.393215,4.262641
43,9.649000,1341.988304,0.242020,0.184910,4.392794,4.238052
44,9.650000,1324.635007,0.247877,0.189302,4.392376,4.164286
45,9.651000,1232.084090,0.253492,0.193695,4.391976,3.770868
46,9.652000,1278.359549,0.259004,0.198086,4.391584,3.967577
47,9.653000,1180.024199,0.264402,0.202478,4.391200,3.549570
48,9.654000,1214.730793,0.269660,0.206869,4.390826,3.697102
49,9.655000,1185.808631,0.274930,0.211259,4.390451,3.574159
50,9.656000,1145.317605,0.280047,0.215650,4.390088,3.402038
51,9.657000,1208.946361,0.285215,0.220040,4.389720,3.672513
52,9.658000,1122.179875,0.290331,0.224429,4.389357,3.303683
53,9.659000,1214.730793,0.295459,0.228818,4.388992,3.697102
54,9.660000,1162.670902,0.300676,0.233207,4.388621,3.475804
55,9.661000,1174.239766,0.305804,0.237596,4.388256,3.524981
56,9.662000,1243.652955,0.311109,0.241984,4.387879,3.820045
57,9.663000,1151.102037,0.316363,0.246371,4.387505,3.426627
58,9.664000,1284.143981,0.321705,0.250759,4.387125,3.992166
59,9.665000,1185.808631,0.327123,0.255146,4.386739,3.574159
60,9.666000,1232.084090,0.332426,0.259532,4.386361,3.770868
61,9.667000,1255.221819,0.337881,0.263918,4.385973,3.869222
62,9.668000,1226.299658,0.343322,0.268304,4.385585,3.746279
63,9.669000,1289.928413,0.348840,0.272690,4.385192,4.016754
64,9.670000,1255.221819,0.354420,0.277075,4.384794,3.869222
65,9.671000,1295.712846,0.360012,0.281459,4.384395,4.041343
66,9.672000,1272.575116,0.365642,0.285843,4.383993,3.942988
67,9.673000,1243.652955,0.371157,0.290227,4.383600,3.820045
68,9.674000,1272.575116,0.376672,0.294611,4.383206,3.942988
69,9.675000,1237.868522,0.382174,0.298994,4.382814,3.795456
70,9.676000,1341.988304,0.387827,0.303376,4.382411,4.238052
71,9.677000,1278.359549,0.393569,0.307758,4.382001,3.967577
72,9.678000,1388.263763,0.399411,0.312140,4.381583,4.434762
73,9.679000,1405.617060,0.405531,0.316521,4.381145,4.508528
74,9.680000,1428.754790,0.411740,0.320902,4.380701,4.606882
75,9.681000,1550.227869,0.418265,0.325283,4.380234,5.123244
76,9.682000,1480.814681,0.424903,0.329663,4.379758,4.828180
77,9.683000,1625.425489,0.431705,0.334042,4.379270,5.442896
78,9.684000,1636.994354,0.438848,0.338421,4.378757,5.492074
79,9.685000,1694.838678,0.446142,0.342800,4.378233,5.737960
80,9.686000,1770.036298,0.453726,0.347178,4.377688,6.057613
81,9.687000,1764.251866,0.461462,0.351555,4.377132,6.033024
82,9.688000,1833.665054,0.469336,0.355932,4.376565,6.328088
83,9.689000,1851.018351,0.477398,0.360308,4.375984,6.401854
84,9.690000,1879.940513,0.485561,0.364684,4.375397,6.524797
85,9.691000,1926.215972,0.493887,0.369059,4.374797,6.721507
86,9.692000,1920.431539,0.502301,0.373434,4.374190,6.696918
87,9.693000,1960.922566,0.510789,0.377808,4.373578,6.869039
88,9.694000,1978.275863,0.519403,0.382181,4.372957,6.942805
89,9.695000,1972.491430,0.528040,0.386553,4.372334,6.918216
90,9.696000,2007.198024,0.536740,0.390925,4.371706,7.065748
91,9.697000,1989.844727,0.545476,0.395297,4.371075,6.991982
92,9.698000,2018.766889,0.554237,0.399668,4.370443,7.114925
93,9.699000,2088.180077,0.563210,0.404038,4.369795,7.409989
94,9.700000,2105.533374,0.572373,0.408407,4.369133,7.483755
95,9.701000,2215.437589,0.581811,0.412776,4.368450,7.950939
96,9.702000,2221.222021,0.591501,0.417144,4.367749,7.975528
