Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00027,-0.00967
0.10000,-0.00307,-0.01541
0.20000,-0.01307,-0.02060
0.30000,-0.02613,-0.02018
0.40000,-0.03800,-0.02075
0.50000,-0.04933,-0.02321
0.60000,-0.05947,-0.01329
0.70000,-0.06987,-0.02630
0.80000,-0.08013,-0.02592
0.90000,-0.08987,-0.02581
1.00000,-0.10027,-0.02325
1.10000,-0.11000,-0.01314
1.20000,-0.12000,-0.03031
1.30000,-0.13027,-0.02306
1.40000,-0.14013,-0.02261
1.50000,-0.15027,-0.02936
1.60000,-0.16040,-0.01675
1.70000,-0.17027,-0.02574
1.80000,-0.18027,-0.02680
1.90000,-0.19040,-0.02465
2.00000,-0.20040,-0.03299
2.10000,-0.21013,-0.02310
2.20000,-0.22040,-0.02869
2.30000,-0.23027,-0.03180
2.40000,-0.23987,-0.03303
2.50000,-0.25040,-0.03218
2.60000,-0.26013,-0.03036
2.70000,-0.27013,-0.04306
2.80000,-0.28040,-0.03818
2.90000,-0.29013,-0.03675
3.00000,-0.30027,-0.03899
3.10000,-0.31040,-0.03376
3.20000,-0.32027,-0.04632
3.30000,-0.33027,-0.04994
3.40000,-0.34027,-0.05242
3.50000,-0.35027,-0.05596
3.60000,-0.36013,-0.05748
3.70000,-0.37040,-0.06136
3.80000,-0.38013,-0.06202
3.90000,-0.39000,-0.06467
4.00000,-0.40040,-0.06901
4.10000,-0.41013,-0.06722
4.20000,-0.42027,-0.08331
4.30000,-0.43053,-0.07864
4.40000,-0.44013,-0.07835
4.50000,-0.45027,-0.08175
4.60000,-0.46040,-0.08570
4.70000,-0.47000,-0.09603
4.80000,-0.48027,-0.09719
4.90000,-0.49027,-0.10251
5.00000,-0.50013,-0.10849
5.10000,-0.51013,-0.10476
5.20000,-0.52000,-0.11903
5.30000,-0.53013,-0.11455
5.40000,-0.54013,-0.12207
5.50000,-0.55040,-0.13007
5.60000,-0.56027,-0.12407
5.70000,-0.57000,-0.13465
5.80000,-0.58053,-0.14341
5.90000,-0.59013,-0.15246
6.00000,-0.60027,-0.15282
6.10000,-0.61040,-0.14838
6.20000,-0.61987,-0.16668
6.30000,-0.63013,-0.16753
6.40000,-0.64040,-0.16548
6.50000,-0.65013,-0.17846
6.60000,-0.66013,-0.17788
6.70000,-0.67013,-0.18779
6.80000,-0.68027,-0.19432
