Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00027,-0.02154
0.10000,-0.00307,-0.03261
0.20000,-0.01280,-0.03900
0.30000,-0.02587,-0.03893
0.40000,-0.03813,-0.04095
0.50000,-0.04893,-0.04313
0.60000,-0.05947,-0.03289
0.70000,-0.06987,-0.04731
0.80000,-0.08000,-0.05000
0.90000,-0.09000,-0.05836
1.00000,-0.10027,-0.05356
1.10000,-0.11013,-0.04924
1.20000,-0.12000,-0.06362
1.30000,-0.13027,-0.05386
1.40000,-0.14013,-0.06041
1.50000,-0.15013,-0.06529
1.60000,-0.16027,-0.06124
1.70000,-0.17000,-0.07262
1.80000,-0.18040,-0.07246
1.90000,-0.19040,-0.07463
2.00000,-0.20013,-0.07466
2.10000,-0.21040,-0.07349
2.20000,-0.22013,-0.08310
2.30000,-0.23027,-0.08059
2.40000,-0.24040,-0.08686
2.50000,-0.25027,-0.09265
2.60000,-0.26000,-0.07872
2.70000,-0.27000,-0.09614
2.80000,-0.28027,-0.10320
2.90000,-0.29000,-0.10252
3.00000,-0.30013,-0.10121
3.10000,-0.31027,-0.09990
3.20000,-0.32000,-0.11731
3.30000,-0.33040,-0.11016
3.40000,-0.34040,-0.12064
3.50000,-0.35013,-0.12776
3.60000,-0.36040,-0.12421
3.70000,-0.37027,-0.12801
3.80000,-0.38027,-0.13682
3.90000,-0.39027,-0.14053
4.00000,-0.40013,-0.15148
4.10000,-0.41027,-0.13905
4.20000,-0.42013,-0.15742
4.30000,-0.43013,-0.15799
4.40000,-0.44013,-0.15492
4.50000,-0.45013,-0.16419
4.60000,-0.46040,-0.16578
4.70000,-0.47013,-0.17537
4.80000,-0.48040,-0.17690
4.90000,-0.49027,-0.18542
5.00000,-0.50000,-0.19452
5.10000,-0.51067,-0.18680
5.20000,-0.52027,-0.19946
5.30000,-0.53013,-0.20593
5.40000,-0.54027,-0.20833
5.50000,-0.54987,-0.21570
5.60000,-0.56013,-0.20825
5.70000,-0.57040,-0.22142
5.80000,-0.58027,-0.23686
5.90000,-0.59027,-0.23444
6.00000,-0.60027,-0.24294
6.10000,-0.61027,-0.24631
6.20000,-0.62027,-0.26008
6.30000,-0.63027,-0.25773
6.40000,-0.64027,-0.26589
6.50000,-0.65013,-0.27352
6.60000,-0.66040,-0.27629
6.70000,-0.67027,-0.28879
6.80000,-0.68013,-0.30782
6.90000,-0.69040,-0.30659
7.00000,-0.70000,-0.31969
7.10000,-0.71013,-0.30795
7.20000,-0.72040,-0.33170
7.30000,-0.73013,-0.33972
7.40000,-0.74026,-0.34076
7.50000,-0.75040,-0.34622
7.60000,-0.76013,-0.35300
7.70000,-0.77026,-0.36825
7.80000,-0.78026,-0.37603
7.90000,-0.79040,-0.38506
8.00000,-0.80026,-0.39032
8.10000,-0.81040,-0.39229
8.20000,-0.82013,-0.40407
8.30000,-0.83000,-0.42333
8.40000,-0.84040,-0.43322
8.50000,-0.85000,-0.43705
8.60000,-0.86040,-0.43891
8.70000,-0.87040,-0.46220
8.80000,-0.88000,-0.47022
8.90000,-0.89040,-0.47346
9.00000,-0.90040,-0.48693
9.10000,-0.91026,-0.48955
9.20000,-0.92013,-0.50969
9.30000,-0.93000,-0.52092
9.40000,-0.94013,-0.52664
9.50000,-0.95013,-0.53726
9.60000,-0.96013,-0.54999
9.70000,-0.97013,-0.56170
9.80000,-0.98000,-0.58129
9.90000,-0.99026,-0.59126
10.00000,-1.00013,-0.60471
10.10000,-1.01013,-0.60523
10.20000,-1.02040,-0.63405
10.30000,-1.03000,-0.64795
10.40000,-1.04026,-0.65272
10.50000,-1.05040,-0.66700
10.60000,-1.06000,-0.67506
10.70000,-1.07040,-0.69762
10.80000,-1.08026,-0.71732
10.90000,-1.09000,-0.73488
11.00000,-1.10026,-0.74868
11.10000,-1.11013,-0.76132
11.20000,-1.12013,-0.78532
11.30000,-1.13040,-0.80949
11.40000,-1.14040,-0.82835
11.50000,-1.15026,-0.85120
11.60000,-1.16026,-0.86853
11.70000,-1.17040,-0.89812
11.80000,-1.18013,-0.91776
11.90000,-1.19040,-0.94195
12.00000,-1.20013,-0.96579
12.10000,-1.20986,-0.98100
12.20000,-1.22026,-1.01500
12.30000,-1.23013,-1.03783
12.40000,-1.24013,-1.07045
12.50000,-1.25053,-1.09712
12.60000,-1.26013,-1.11705
12.70000,-1.27013,-1.15061
12.80000,-1.28026,-1.17804
12.90000,-1.29013,-1.20985
13.00000,-1.30026,-1.24305
13.10000,-1.31040,-1.26704
13.20000,-1.32026,-1.30289
13.30000,-1.33013,-1.33392
13.40000,-1.34040,-1.36539
13.50000,-1.35026,-1.39859
13.60000,-1.36000,-1.42659
13.70000,-1.37040,-1.46994
13.80000,-1.38013,-1.49626
13.90000,-1.39013,-1.54065
14.00000,-1.40053,-1.57617
14.10000,-1.41013,-1.59667
14.20000,-1.42013,-1.64257
14.30000,-1.43040,-1.67886
14.40000,-1.44000,-1.71285
14.50000,-1.45026,-1.74605
14.60000,-1.46026,-1.78399
14.70000,-1.47026,-1.82782
14.80000,-1.48026,-1.86761
14.90000,-1.49013,-1.90318
15.00000,-1.50013,-1.94791
15.10000,-1.51013,-1.97489
15.20000,-1.52040,-2.03473
15.30000,-1.53026,-2.06541
15.40000,-1.54000,-2.11320
15.50000,-1.55053,-2.15890
15.60000,-1.56013,-2.19409
15.70000,-1.57026,-2.24247
15.80000,-1.58053,-2.28966
15.90000,-1.59000,-2.33234
16.00000,-1.60013,-2.37961
16.10000,-1.61026,-2.40788
16.20000,-1.62000,-2.46350
