Time,Extension,Load
(sec),(mm),(N)
0.00000,-0.00053,-0.00747
0.10000,-0.00413,-0.02085
0.20000,-0.01493,-0.02124
0.30000,-0.02720,-0.03575
0.40000,-0.03893,-0.02861
0.50000,-0.04973,-0.02543
0.60000,-0.06000,-0.02147
0.70000,-0.07027,-0.03543
0.80000,-0.08040,-0.02752
0.90000,-0.09027,-0.03066
1.00000,-0.10067,-0.02934
1.10000,-0.11053,-0.03247
1.20000,-0.12040,-0.03354
1.30000,-0.13080,-0.04258
1.40000,-0.14040,-0.04057
1.50000,-0.15040,-0.04437
1.60000,-0.16080,-0.03611
1.70000,-0.17053,-0.04020
1.80000,-0.18053,-0.04194
1.90000,-0.19067,-0.04959
2.00000,-0.20040,-0.04808
2.10000,-0.21067,-0.04272
2.20000,-0.22067,-0.05372
2.30000,-0.23040,-0.05676
2.40000,-0.24040,-0.05712
2.50000,-0.25040,-0.05870
2.60000,-0.26067,-0.05346
2.70000,-0.27053,-0.05676
2.80000,-0.28067,-0.06355
2.90000,-0.29053,-0.06837
3.00000,-0.30040,-0.07520
3.10000,-0.31080,-0.06577
3.20000,-0.32040,-0.06833
3.30000,-0.33053,-0.07658
3.40000,-0.34080,-0.08082
3.50000,-0.35027,-0.07655
3.60000,-0.36053,-0.07876
3.70000,-0.37067,-0.08623
3.80000,-0.38040,-0.09159
3.90000,-0.39053,-0.08744
4.00000,-0.40053,-0.09395
4.10000,-0.41067,-0.09844
4.20000,-0.42067,-0.10411
4.30000,-0.43080,-0.11059
4.40000,-0.44067,-0.11672
4.50000,-0.45053,-0.10683
4.60000,-0.46080,-0.11321
4.70000,-0.47053,-0.12369
4.80000,-0.48053,-0.12770
4.90000,-0.49067,-0.13842
5.00000,-0.50040,-0.14028
5.10000,-0.51053,-0.14134
5.20000,-0.52053,-0.14691
5.30000,-0.53027,-0.15784
5.40000,-0.54080,-0.16150
5.50000,-0.55067,-0.17003
5.60000,-0.56053,-0.17061
5.70000,-0.57080,-0.17834
5.80000,-0.58053,-0.18375
5.90000,-0.59067,-0.19584
6.00000,-0.60067,-0.20655
6.10000,-0.61067,-0.20253
6.20000,-0.62040,-0.21340
6.30000,-0.63040,-0.22711
6.40000,-0.64067,-0.23183
6.50000,-0.65027,-0.23588
6.60000,-0.66053,-0.24118
6.70000,-0.67053,-0.26001
6.80000,-0.68027,-0.27481
6.90000,-0.69080,-0.28028
7.00000,-0.70066,-0.28912
7.10000,-0.71053,-0.29853
7.20000,-0.72066,-0.31814
7.30000,-0.73040,-0.32850
7.40000,-0.74053,-0.33189
7.50000,-0.75066,-0.33971
7.60000,-0.76053,-0.35755
7.70000,-0.77053,-0.36645
7.80000,-0.78040,-0.37701
7.90000,-0.79040,-0.39555
8.00000,-0.80040,-0.41251
8.10000,-0.81040,-0.41481
8.20000,-0.82066,-0.43827
8.30000,-0.83040,-0.45555
8.40000,-0.84080,-0.47340
8.50000,-0.85066,-0.48418
8.60000,-0.86040,-0.49009
8.70000,-0.87093,-0.52114
8.80000,-0.88066,-0.53464
8.90000,-0.89053,-0.55371
9.00000,-0.90066,-0.57909
9.10000,-0.91013,-0.58231
9.20000,-0.92053,-0.61188
9.30000,-0.93066,-0.63476
9.40000,-0.94066,-0.64911
9.50000,-0.95066,-0.67183
9.60000,-0.96053,-0.69354
9.70000,-0.97066,-0.71629
9.80000,-0.98053,-0.74555
9.90000,-0.99066,-0.77352
10.00000,-1.00053,-0.79501
10.10000,-1.01040,-0.81966
10.20000,-1.02093,-0.85376
10.30000,-1.03053,-0.88367
10.40000,-1.04040,-0.91566
10.50000,-1.05053,-0.94099
10.60000,-1.06026,-0.96544
10.70000,-1.07053,-1.00134
10.80000,-1.08080,-1.04003
10.90000,-1.09053,-1.06639
11.00000,-1.10066,-1.10158
11.10000,-1.11066,-1.13568
11.20000,-1.12053,-1.16833
11.30000,-1.13066,-1.20489
11.40000,-1.14066,-1.24098
11.50000,-1.15066,-1.27284
11.60000,-1.16053,-1.30026
11.70000,-1.17066,-1.34318
11.80000,-1.18040,-1.36429
11.90000,-1.19026,-1.39260
12.00000,-1.20066,-1.35384
12.10000,-1.21040,-1.35780
12.20000,-1.22066,-1.41088
12.30000,-1.23066,-1.45816
12.40000,-1.24026,-1.49732
12.50000,-1.25080,-1.52755
12.60000,-1.26066,-1.56982
12.70000,-1.27053,-1.61192
12.80000,-1.28066,-1.64266
12.90000,-1.29040,-1.67637
13.00000,-1.30040,-1.70892
13.10000,-1.31040,-1.74144
13.20000,-1.32053,-1.78402
13.30000,-1.33040,-1.82480
13.40000,-1.34026,-1.86417
13.50000,-1.35053,-1.89142
13.60000,-1.36026,-1.93722
13.70000,-1.37053,-1.98973
13.80000,-1.38066,-2.04365
13.90000,-1.39026,-2.07158
14.00000,-1.40066,-2.11436
14.10000,-1.41066,-2.15439
14.20000,-1.42040,-2.20044
14.30000,-1.43066,-2.24252
14.40000,-1.44040,-2.28677
14.50000,-1.45040,-2.32770
14.60000,-1.46066,-2.36560
14.70000,-1.47040,-2.42119
14.80000,-1.48066,-2.46453
14.90000,-1.49066,-2.51519
15.00000,-1.50066,-2.56241
15.10000,-1.51066,-2.60200
15.20000,-1.52066,-2.64947
15.30000,-1.53066,-2.70015
15.40000,-1.54053,-2.74539
15.50000,-1.55066,-2.79005
15.60000,-1.56066,-2.83048
15.70000,-1.57026,-2.88988
15.80000,-1.58066,-2.92891
15.90000,-1.59040,-2.97744
16.00000,-1.60053,-3.02416
16.10000,-1.61080,-3.07331
16.20000,-1.62026,-3.12841
16.30000,-1.63053,-3.18745
16.40000,-1.64066,-3.24366
16.50000,-1.65066,-3.28687
16.60000,-1.66053,-3.33540
16.70000,-1.67066,-3.38640
16.80000,-1.68066,-3.44096
16.90000,-1.69040,-3.49039
17.00000,-1.70080,-3.54051
17.10000,-1.71053,-3.59285
17.20000,-1.72026,-3.65264
17.30000,-1.73080,-3.70881
17.40000,-1.74053,-3.75121
17.50000,-1.75053,-3.80538
17.60000,-1.76080,-3.85421
17.70000,-1.77040,-3.90922
17.80000,-1.78053,-3.96097
17.90000,-1.79080,-4.02006
18.00000,-1.80040,-4.06934
18.10000,-1.81066,-4.11684
18.20000,-1.82066,-4.17800
18.30000,-1.83040,-4.22417
18.40000,-1.84053,-4.27937
18.50000,-1.85040,-4.33413
18.60000,-1.86053,-4.38824
18.70000,-1.87040,-4.44621
18.80000,-1.88066,-4.49940
18.90000,-1.89040,-4.55843
19.00000,-1.90040,-4.61169
19.10000,-1.91093,-4.66667
19.20000,-1.92053,-4.71409
19.30000,-1.93066,-4.77344
19.40000,-1.94066,-4.83499
19.50000,-1.95013,-4.88608
19.60000,-1.96053,-4.92488
19.70000,-1.97053,-4.99062
19.80000,-1.98026,-5.04475
19.90000,-1.99040,-5.10603
20.00000,-2.00053,-5.15371
20.10000,-2.01053,-5.19700
20.20000,-2.02066,-5.26030
20.30000,-2.03079,-5.31368
20.40000,-2.04080,-5.37064
20.50000,-2.05080,-5.41913
20.60000,-2.06066,-5.46658
20.70000,-2.07066,-5.52716
20.80000,-2.08053,-5.57538
20.90000,-2.09066,-5.62744
21.00000,-2.10039,-5.67578
21.10000,-2.11053,-5.72013
21.20000,-2.12066,-5.78495
21.30000,-2.13039,-5.82999
21.40000,-2.14066,-5.88243
21.50000,-2.15066,-5.93042
21.60000,-2.16066,-5.97472
21.70000,-2.17093,-6.03348
21.80000,-2.18053,-6.08045
21.90000,-2.19066,-6.13265
22.00000,-2.20066,-6.18037
22.10000,-2.21053,-6.22574
22.20000,-2.22039,-6.28902
22.30000,-2.23053,-6.33881
22.40000,-2.24066,-6.38710
22.50000,-2.25039,-6.43629
22.60000,-2.26066,-6.47223
22.70000,-2.27066,-6.53718
22.80000,-2.28026,-6.58162
22.90000,-2.29079,-6.63278
23.00000,-2.30053,-6.68405
23.10000,-2.31039,-6.72377
23.20000,-2.32066,-6.77251
23.30000,-2.33053,-6.82560
23.40000,-2.34066,-6.87512
23.50000,-2.35066,-6.92377
23.60000,-2.36053,-6.96281
23.70000,-2.37053,-7.01711
23.80000,-2.38039,-7.06248
23.90000,-2.39039,-7.11573
24.00000,-2.40039,-7.16658
24.10000,-2.41053,-7.20304
24.20000,-2.42066,-7.26145
24.30000,-2.43053,-7.31003
24.40000,-2.44079,-7.35741
24.50000,-2.45053,-7.40596
24.60000,-2.46039,-7.44636
24.70000,-2.47093,-7.50152
24.80000,-2.48053,-7.54968
24.90000,-2.49053,-7.60223
25.00000,-2.50079,-7.64102
25.10000,-2.51026,-7.68319
25.20000,-2.52039,-7.74619
25.30000,-2.53066,-7.78450
25.40000,-2.54053,-7.83129
25.50000,-2.55053,-7.87815
25.60000,-2.56053,-7.91781
25.70000,-2.57066,-7.97448
25.80000,-2.58066,-8.01825
25.90000,-2.59066,-8.06331
26.00000,-2.60053,-8.11247
26.10000,-2.61039,-8.15742
26.20000,-2.62079,-8.21584
26.30000,-2.63053,-8.25762
26.40000,-2.64039,-8.30707
26.50000,-2.65066,-8.35024
26.60000,-2.66026,-8.39030
26.70000,-2.67066,-8.44677
26.80000,-2.68066,-8.49348
