Time,Extension,Load
(sec),(mm),(N)
16.30000,-2.30839,-2.53930
16.40000,-2.31879,-2.57859
16.50000,-2.32879,-2.62975
16.60000,-2.33866,-2.66150
16.70000,-2.34879,-2.71837
16.80000,-2.35866,-2.75048
16.90000,-2.36866,-2.79804
17.00000,-2.37866,-2.84509
17.10000,-2.38853,-2.88704
17.20000,-2.39839,-2.93903
17.30000,-2.40853,-2.98781
17.40000,-2.41893,-3.03772
17.50000,-2.42853,-3.08189
17.60000,-2.43879,-3.12590
17.70000,-2.44879,-3.18947
17.80000,-2.45839,-3.23348
17.90000,-2.46893,-3.28521
18.00000,-2.47866,-3.33923
18.10000,-2.48853,-3.38509
18.20000,-2.49879,-3.45112
18.30000,-2.50839,-3.50104
18.40000,-2.51853,-3.55769
18.50000,-2.52879,-3.61354
18.60000,-2.53866,-3.66604
18.70000,-2.54879,-3.73285
18.80000,-2.55879,-3.79372
18.90000,-2.56879,-3.84821
19.00000,-2.57879,-3.90391
19.10000,-2.58893,-3.95428
19.20000,-2.59879,-4.02595
19.30000,-2.60866,-4.08287
19.40000,-2.61893,-4.14242
19.50000,-2.62879,-4.20236
19.60000,-2.63853,-4.25970
19.70000,-2.64893,-4.34157
19.80000,-2.65853,-4.38721
19.90000,-2.66866,-4.46051
20.00000,-2.67893,-4.52822
20.10000,-2.68853,-4.58024
20.20000,-2.69879,-4.65067
20.30000,-2.70893,-4.73145
20.40000,-2.71879,-4.78575
20.50000,-2.72879,-4.86132
20.60000,-2.73879,-4.91912
20.70000,-2.74879,-4.99679
20.80000,-2.75866,-5.05235
20.90000,-2.76893,-5.12277
21.00000,-2.77853,-5.18206
21.10000,-2.78839,-5.24451
21.20000,-2.79893,-5.31774
21.30000,-2.80853,-5.37504
21.40000,-2.81879,-5.44493
21.50000,-2.82893,-5.51062
21.60000,-2.83853,-5.55703
21.70000,-2.84879,-5.63684
21.80000,-2.85893,-5.70337
21.90000,-2.86866,-5.76991
22.00000,-2.87879,-5.82265
22.10000,-2.88866,-5.88059
22.20000,-2.89866,-5.94686
22.30000,-2.90853,-6.01161
22.40000,-2.91853,-6.07024
22.50000,-2.92866,-6.13110
22.60000,-2.93853,-6.18690
22.70000,-2.94879,-6.26178
22.80000,-2.95866,-6.31691
22.90000,-2.96853,-6.38334
23.00000,-2.97893,-6.44077
23.10000,-2.98853,-6.49207
23.20000,-2.99879,-6.55641
23.30000,-3.00893,-6.62543
23.40000,-3.01839,-6.67798
23.50000,-3.02879,-6.73805
23.60000,-3.03879,-6.79221
23.70000,-3.04853,-6.85868
23.80000,-3.05866,-6.91130
23.90000,-3.06853,-6.97403
24.00000,-3.07866,-7.03611
24.10000,-3.08879,-7.08963
24.20000,-3.09879,-7.15170
24.30000,-3.10866,-7.20931
24.40000,-3.11866,-7.26159
24.50000,-3.12879,-7.32284
24.60000,-3.13866,-7.38567
24.70000,-3.14879,-7.44225
24.80000,-3.15879,-7.49906
24.90000,-3.16853,-7.55486
25.00000,-3.17893,-7.61406
25.10000,-3.18866,-7.66966
25.20000,-3.19853,-7.73045
25.30000,-3.20893,-7.79173
25.40000,-3.21866,-7.84228
25.50000,-3.22866,-7.89187
25.60000,-3.23893,-7.95911
25.70000,-3.24879,-8.01688
25.80000,-3.25879,-8.07733
25.90000,-3.26879,-8.13653
26.00000,-3.27866,-8.18589
26.10000,-3.28853,-8.24868
26.20000,-3.29866,-8.31145
26.30000,-3.30866,-8.37405
26.40000,-3.31853,-8.43732
26.50000,-3.32893,-8.48716
26.60000,-3.33866,-8.54816
26.70000,-3.34853,-8.61164
26.80000,-3.35906,-8.67454
26.90000,-3.36879,-8.73419
27.00000,-3.37866,-8.79307
27.10000,-3.38892,-8.85115
27.20000,-3.39853,-8.90798
27.30000,-3.40879,-8.97407
27.40000,-3.41879,-9.02980
27.50000,-3.42853,-9.10320
27.60000,-3.43852,-9.15913
27.70000,-3.44839,-9.23707
27.80000,-3.45852,-9.29676
27.90000,-3.46852,-9.37735
28.00000,-3.47879,-9.42947
28.10000,-3.48879,-9.50820
28.20000,-3.49866,-9.56690
28.30000,-3.50906,-9.64580
28.40000,-3.51879,-9.70856
28.50000,-3.52866,-9.77814
28.60000,-3.53906,-9.85094
28.70000,-3.54852,-9.92722
28.80000,-3.55866,-9.99789
28.90000,-3.56879,-10.07908
29.00000,-3.57852,-10.14434
29.10000,-3.58866,-10.21568
29.20000,-3.59879,-10.30214
29.30000,-3.60866,-10.38241
29.40000,-3.61866,-10.44512
29.50000,-3.62879,-10.51986
29.60000,-3.63879,-10.59762
29.70000,-3.64879,-10.68067
29.80000,-3.65892,-10.75526
29.90000,-3.66879,-10.84026
30.00000,-3.67852,-10.91270
30.10000,-3.68892,-10.99701
30.20000,-3.69852,-11.07850
30.30000,-3.70852,-11.15371
30.40000,-3.71879,-11.23627
30.50000,-3.72839,-11.31423
30.60000,-3.73879,-11.39158
30.70000,-3.74892,-11.48721
30.80000,-3.75866,-11.55866
30.90000,-3.76879,-11.65322
31.00000,-3.77866,-11.73241
31.10000,-3.78879,-11.81423
31.20000,-3.79892,-11.90185
31.30000,-3.80892,-11.97745
31.40000,-3.81866,-12.06080
31.50000,-3.82852,-12.14012
31.60000,-3.83892,-12.22540
31.70000,-3.84852,-12.31285
31.80000,-3.85866,-12.39532
31.90000,-3.86879,-12.49025
32.00000,-3.87852,-12.56645
32.10000,-3.88892,-12.64884
32.20000,-3.89892,-12.73711
32.30000,-3.90852,-12.82254
32.40000,-3.91892,-12.91384
32.50000,-3.92879,-12.99722
32.60000,-3.93866,-13.07662
32.70000,-3.94866,-13.17049
32.80000,-3.95866,-13.25506
32.90000,-3.96866,-13.34935
33.00000,-3.97852,-13.44049
33.10000,-3.98852,-13.51445
33.20000,-3.99852,-13.61461
33.30000,-4.00852,-13.70934
33.40000,-4.01892,-13.79507
33.50000,-4.02852,-13.87176
33.60000,-4.03892,-13.95839
33.70000,-4.04879,-14.05484
33.80000,-4.05852,-14.13069
33.90000,-4.06892,-14.22672
34.00000,-4.07866,-14.31627
34.10000,-4.08852,-14.38561
34.20000,-4.09879,-14.48573
34.30000,-4.10852,-14.56986
34.40000,-4.11852,-14.65966
34.50000,-4.12879,-14.73904
34.60000,-4.13866,-14.81975
34.70000,-4.14852,-14.91272
34.80000,-4.15866,-14.99742
34.90000,-4.16892,-15.08980
35.00000,-4.17879,-15.16829
35.10000,-4.18892,-15.24451
35.20000,-4.19879,-15.33664
35.30000,-4.20852,-15.41840
35.40000,-4.21879,-15.50436
35.50000,-4.22879,-15.58924
35.60000,-4.23852,-15.66162
35.70000,-4.24892,-15.76160
35.80000,-4.25852,-15.83413
35.90000,-4.26866,-15.92305
36.00000,-4.27892,-16.00776
36.10000,-4.28852,-16.07761
36.20000,-4.29879,-16.16949
36.30000,-4.30892,-16.26164
36.40000,-4.31879,-16.33195
36.50000,-4.32879,-16.41773
36.60000,-4.33879,-16.49443
36.70000,-4.34892,-16.58915
36.80000,-4.35866,-16.65653
36.90000,-4.36892,-16.73884
37.00000,-4.37866,-16.81203
37.10000,-4.38826,-16.88118
37.20000,-4.39892,-16.97546
37.30000,-4.40866,-17.04864
37.40000,-4.41879,-17.12075
